Timestamp,Heart Rate,RR Interval
1739791367.1701188,82,0.724
1739791367.170154,82,0.804
1739791368.160243,81,0.86
1739791369.149326,81,0.844
1739791370.139648,81,0.796
1739791371.130551,80,0.76
1739791371.1305852,80,0.772
1739791372.119919,80,0.748
1739791373.1109738,79,0.816
1739791376.081069,79,0.792
1739791376.081099,79,0.784
1739791376.081731,79,0.876
1739791376.0818691,79,0.896
1739791377.070823,79,0.796
1739791378.059238,78,0.844
1739791380.039331,77,0.812
1739791380.039356,77,0.72
1739791381.02972,77,0.724
1739791382.01905,76,0.76
1739791382.019061,76,0.827
1739791383.009043,76,0.916
1739791383.999441,76,0.932
1739791384.99007,76,0.924
1739791385.981339,76,0.808
1739791386.9694211,76,0.784
1739791387.964736,76,0.788
1739791387.964772,76,0.836
1739791388.950469,76,0.832
1739791389.940369,76,0.892
1739791390.932401,76,0.856
1739791391.920343,75,0.816
1739791391.9203799,75,0.788
1739791393.901341,75,0.732
1739791394.890131,75,0.716
1739791395.878699,75,0.696
1739791395.8787148,75,0.664
1739791395.878863,76,0.684
1739791395.878865,76,0.676
1739791396.8697422,77,0.68
1739791397.859434,85,0.688
1739791397.8594718,85,0.656
1739791399.839831,89,1.312
1739791399.839848,89,0.648
1739791400.830755,90,0.64
1739791401.820781,92,0.631
1739791401.820794,92,0.644
1739791402.8111732,93,0.648
1739791403.800768,94,0.668
1739791403.800799,94,0.66
1739791404.792748,94,0.708
1739791405.78076,94,0.712
1739791405.780792,94,0.692
1739791406.769995,94,0.708
1739791407.762162,92,0.696
1739791407.762198,92,0.668
1739791408.7502642,91,0.672
1739791409.740764,90,0.7
1739791409.740797,90,0.772
1739791410.728975,89,0.704
1739791411.720373,89,0.752
1739791411.720387,89,0.7
1739791412.710609,89,0.74
1739791413.701797,89,0.692
1739791414.69038,88,0.704
1739791414.6904068,88,0.744
1739791415.6801689,88,0.692
1739791416.6716192,88,0.692
1739791416.67165,88,0.656
1739791417.6604009,88,0.632
1739791418.651445,88,0.636
1739791418.651478,88,0.62
1739791419.6420631,89,0.612
1739791419.642092,89,0.612
1739791421.621136,90,0.62
1739791422.611431,96,0.619
1739791422.611459,96,0.612
1739791422.6122198,99,0.616
1739791422.612227,99,0.608
1739791423.602366,100,0.612
1739791424.591479,100,0.608
1739791424.591507,100,0.596
1739791425.582241,101,0.612
1739791425.582247,101,0.556
1739791426.571742,101,0.584
1739791426.571768,101,0.568
1739791427.5603352,101,0.56
1739791427.560363,101,0.56
1739791428.5522308,102,0.572
1739791429.5410602,103,0.56
1739791429.541093,103,0.576
1739791430.532077,107,0.576
1739791430.532128,107,0.576
1739791431.52058,107,0.588
1739791431.5206048,107,0.564
1739791432.515344,107,0.592
1739791433.501058,106,0.592
1739791433.501087,106,0.592
1739791434.4910269,105,0.604
1739791434.491049,105,0.6
1739791435.4804962,104,0.608
1739791435.4805288,104,0.608
1739791436.471273,103,0.588
1739791437.460841,103,0.56
1739791437.460869,103,0.592
1739791439.4424782,103,0.58
1739791439.442507,103,0.576
1739791439.443273,104,0.568
1739791439.4432771,104,0.568
1739791440.431435,105,0.568
1739791441.420288,106,0.587
1739791441.420317,106,0.584
1739791442.412051,106,0.596
1739791442.41208,106,0.596
1739791444.3957398,105,0.588
1739791444.3957691,105,0.596
1739791444.396513,105,0.592
1739791445.380633,104,0.58
1739791445.380664,104,0.584
1739791446.370165,104,0.584
1739791446.370177,104,0.576
1739791447.361421,105,0.572
1739791447.361449,105,0.584
1739791448.352406,105,0.608
1739791449.342852,105,0.612
1739791449.342885,105,0.628
1739791450.333588,105,0.632
1739791450.333614,105,0.42
1739791451.322757,104,0.804
1739791452.309452,103,0.636
1739791452.309484,103,0.628
1739791453.301507,101,0.624
1739791453.301535,101,0.596
1739791454.2913349,101,0.596
1739791455.2809112,102,0.58
1739791455.280939,102,0.572
1739791457.261515,102,0.568
1739791457.2615502,102,0.548
1739791458.251839,104,0.548
1739791458.251866,104,0.556
1739791458.2531881,107,0.552
1739791458.2531998,107,0.54
1739791459.241444,110,0.548
1739791459.2414799,110,0.548
1739791460.232737,111,0.54
1739791461.2206988,112,0.543
1739791461.22073,112,0.552
1739791462.216219,112,0.556
1739791462.216243,112,0.556
1739791463.202247,112,0.568
1739791463.2022772,112,0.58
1739791464.189816,111,0.604
1739791464.189833,111,0.612
1739791465.180052,111,0.608
1739791466.171115,109,0.612
1739791466.171145,109,0.624
1739791467.160788,106,0.628
1739791467.1608598,106,0.612
1739791468.1556962,103,0.6
1739791469.14199,102,0.584
1739791469.142026,102,0.584
1739791470.1311822,102,0.576
1739791470.131218,102,0.564
1739791471.118913,103,0.576
1739791471.118919,103,0.572
1739791472.111485,105,0.588
1739791473.101426,105,0.596
1739791473.1014552,105,0.596
1739791474.091962,105,0.596
1739791474.091999,105,0.608
1739791475.082627,105,0.608
1739791476.072233,103,0.6
1739791476.072261,103,0.592
1739791477.062052,103,0.588
1739791477.0620759,103,0.588
1739791479.041875,103,0.584
1739791479.0419111,103,0.588
1739791480.03113,104,0.58
1739791481.021755,105,0.576
1739791481.02179,105,0.571
1739791482.011981,106,0.564
1739791482.012008,106,0.56
1739791483.000484,107,0.56
1739791483.000512,107,0.564
1739791483.995323,108,0.56
1739791483.9953349,108,0.564
1739791484.9811509,109,0.56
1739791484.981187,109,0.56
1739791485.969312,109,0.564
1739791486.961457,109,0.564
1739791486.961492,109,0.572
1739791487.952224,109,0.572
1739791487.952258,109,0.596
1739791488.942786,109,0.6
1739791488.942825,109,0.604
1739791489.933336,108,0.608
1739791490.92191,107,0.604
1739791490.921946,107,0.592
1739791491.911652,104,0.592
1739791491.911676,104,0.588
1739791492.901292,103,0.584
1739791492.9013278,103,0.584
1739791493.891528,104,0.584
1739791494.881415,104,0.604
1739791494.881438,104,0.612
1739791495.872926,104,0.604
1739791495.8729641,104,0.596
1739791496.861111,104,0.592
1739791497.8521569,103,0.592
1739791497.852193,103,0.588
1739791498.845866,103,0.596
1739791498.84589,103,0.616
1739791499.831234,103,0.612
1739791500.8197849,103,0.6
1739791500.819797,103,0.595
1739791501.81274,103,0.588
1739791501.812764,103,0.6
1739791503.79283,102,0.604
1739791503.792863,102,0.608
1739791504.781472,102,0.608
1739791505.772183,102,0.616
1739791505.7722082,102,0.62
1739791505.772806,101,0.608
1739791505.77281,101,0.608
1739791506.763032,101,0.604
1739791507.751329,101,0.6
1739791507.7513669,101,0.612
1739791508.741259,101,0.616
1739791508.7412858,101,0.612
1739791509.731424,101,0.608
1739791510.7238002,101,0.62
1739791510.723827,101,0.612
1739791511.711759,101,0.6
1739791511.711773,101,0.592
1739791512.700761,101,0.596
1739791513.693556,102,0.584
1739791513.693588,102,0.584
1739791514.680746,103,0.584
1739791514.680775,103,0.6
1739791515.6714199,103,0.62
1739791515.6714492,103,0.62
1739791516.6630678,103,0.644
1739791517.651948,103,0.648
1739791517.651985,103,0.624
1739791518.6431339,102,0.62
1739791519.6316211,100,0.604
1739791519.631657,100,0.604
1739791520.6214662,100,0.591
1739791520.6215,100,0.592
1739791521.6133618,101,0.588
1739791521.613395,101,0.584
1739791522.6013691,102,0.58
1739791523.59116,104,0.576
1739791523.591191,104,0.576
1739791524.581185,105,0.58
1739791524.581216,105,0.604
1739791525.573847,105,0.624
1739791525.5738728,105,0.616
1739791526.561823,105,0.632
1739791527.552706,105,0.676
1739791527.55273,105,0.672
1739791528.5418189,104,0.64
1739791529.531619,100,0.64
1739791529.5316522,100,0.64
1739791530.521245,98,0.62
1739791530.521274,98,0.608
1739791531.511662,98,0.596
1739791532.500129,98,0.604
1739791532.500142,98,0.6
1739791533.491338,100,0.596
1739791533.4913678,100,0.604
1739791534.483038,101,0.604
1739791535.4724228,102,0.612
1739791535.472466,102,0.604
1739791536.462388,102,0.608
1739791536.4624152,102,0.608
1739791537.452855,102,0.616
1739791538.4421089,101,0.612
1739791538.442146,101,0.604
1739791539.433088,101,0.612
1739791539.4331222,101,0.611
1739791540.42292,101,0.62
1739791541.413444,100,0.612
1739791541.413482,100,0.624
1739791542.4016829,100,0.604
1739791542.401711,100,0.6
1739791543.393378,100,0.608
1739791544.382056,100,0.628
1739791544.3820958,100,0.624
1739791545.3775418,100,0.62
1739791545.377555,100,0.612
1739791546.359671,100,0.608
1739791547.353575,100,0.636
1739791547.353611,100,0.644
1739791548.34334,99,0.624
1739791548.343376,99,0.624
1739791549.331701,99,0.616
1739791550.321507,99,0.616
1739791550.321537,99,0.64
1739791551.312853,98,0.652
1739791551.312887,98,0.628
1739791552.303227,98,0.62
1739791553.2937322,98,0.62
1739791553.293758,98,0.624
1739791554.2800589,98,0.608
1739791554.280073,98,0.608
1739791555.27137,99,0.596
1739791556.263499,100,0.592
1739791556.2635279,100,0.592
1739791557.25121,101,0.58
1739791557.2512362,101,0.576
1739791558.2430542,102,0.584
1739791559.2326982,103,0.608
1739791559.2327292,103,0.624
1739791560.221185,103,0.619
1739791560.221215,103,0.6
1739791561.2116952,103,0.604
1739791562.201961,102,0.612
1739791562.2020009,102,0.596
1739791563.193268,102,0.584
1739791563.1932979,102,0.584
1739791564.183188,103,0.576
1739791564.183219,103,0.58
1739791565.173321,104,0.576
1739791565.1733508,104,0.58
1739791566.162267,105,0.572
1739791567.15307,106,0.572
1739791567.1531048,106,0.572
1739791568.142787,107,0.56
1739791568.142824,107,0.548
1739791569.1313841,108,0.568
1739791569.131518,108,0.552
1739791570.120896,109,0.552
1739791570.120917,109,0.536
1739791571.1122,110,0.532
1739791571.112235,110,0.56
1739791572.1013288,110,0.552
1739791573.0913332,111,0.552
1739791573.091373,111,0.528
1739791574.083128,112,0.552
1739791574.083159,112,0.54
1739791575.072173,112,0.54
1739791575.072202,112,0.544
1739791576.059736,113,0.516
1739791576.059745,113,0.552
1739791578.0421052,113,0.544
1739791578.042136,113,0.548
1739791579.032875,113,0.532
1739791579.032907,113,0.568
1739791580.022497,112,0.58
1739791581.011916,112,0.583
