Timestamp,Heart Rate,RR Interval
1740140235.630342,97,1.168
1740140240.640385,112,0.288
1740140254.500159,100,12.924
1740140255.489532,99,0.66
1740140255.489568,99,0.668
1740140256.480314,98,0.66
1740140256.480351,98,0.352
1740140257.4705842,98,0.28
1740140257.470623,98,0.636
1740140258.460084,97,0.632
1740140258.460119,97,0.619
1740140259.450439,97,0.616
1740140260.4401128,96,0.62
1740140260.4401448,96,0.612
1740140261.430731,96,0.616
1740140261.430769,96,0.616
1740140262.4193878,97,0.616
1740140263.411906,98,0.628
1740140263.411944,98,0.648
1740140264.400705,98,0.664
1740140265.3918872,98,0.68
1740140265.391912,98,0.7
1740140266.3782752,98,0.744
1740140266.378294,98,0.264
1740140270.339435,97,4.32
1740140271.329323,96,0.792
1740140272.319049,96,0.756
1740140273.310695,95,0.748
1740140273.310735,95,0.764
1740140274.298982,95,0.8
1740140275.289105,95,0.78
1740140276.277035,95,0.776
1740140277.269141,94,0.772
1740140277.269181,94,0.796
1740140278.25873,92,0.791
1740140281.2287061,89,0.772
1740140281.229146,83,0.784
1740140281.22915,83,0.728
1740140282.219671,82,0.816
1740140283.209517,81,0.82
1740140283.209985,80,0.796
1740140283.209992,80,0.828
1740140284.198882,79,0.816
1740140285.188853,79,0.8
1740140286.178994,78,0.828
1740140287.168194,77,0.848
1740140287.1682181,77,0.792
1740140288.158401,77,0.744
1740140289.149485,76,0.732
1740140290.138825,76,0.756
1740140290.138863,76,0.832
1740140291.131309,76,0.864
1740140292.1190012,75,0.832
1740140293.108778,75,0.844
1740140294.098884,74,0.872
1740140295.088939,73,0.864
1740140295.0889778,73,0.812
1740140296.0766761,73,0.784
1740140297.0715,73,0.832
1740140298.059165,73,0.795
1740140299.0497122,73,0.872
1740140299.049747,73,0.824
1740140300.039528,74,0.816
1740140301.030358,74,0.764
1740140302.018956,75,0.736
1740140302.018991,75,0.704
1740140303.009256,75,0.704
1740140303.998822,76,0.684
1740140303.9988601,76,0.688
1740140304.988,77,0.676
1740140305.979529,78,0.656
1740140305.979569,78,0.668
1740140306.970332,78,0.652
1740140307.959253,86,0.636
1740140307.9593441,86,0.632
1740140308.95001,89,0.616
1740140308.9500391,89,0.628
1740140309.938277,90,0.364
1740140311.919337,91,1.14
1740140311.919743,92,1.54
1740140312.908345,96,0.512
1740140312.908376,96,0.476
1740140313.8990688,97,0.78
1740140318.849486,97,5.467
1740140319.8384378,98,0.756
1740140320.829555,98,0.76
1740140321.819337,98,0.712
1740140321.81937,98,0.756
1740140322.809268,98,0.744
1740140323.7994938,98,0.712
1740140324.786491,97,0.728
1740140324.786502,97,0.74
1740140325.776837,97,0.744
1740140326.767605,87,0.724
1740140326.767638,87,0.708
1740140327.758861,86,0.74
1740140328.748887,85,0.832
1740140329.737354,85,0.852
1740140330.72672,85,0.888
1740140330.726752,85,0.808
1740140331.716513,84,0.744
1740140332.70877,84,0.752
1740140333.699877,83,0.74
1740140334.686966,82,0.948
1740140334.686988,82,0.928
1740140335.679925,82,0.936
1740140336.667871,81,0.932
1740140337.656477,81,0.955
1740140338.646398,81,0.952
1740140339.637163,81,0.944
1740140340.6277702,80,0.96
1740140341.6163251,79,0.98
1740140343.596968,78,0.964
1740140344.5964448,73,0.976
1740140345.576164,71,0.98
1740140346.567769,68,0.98
1740140347.561576,66,0.984
1740140348.548248,64,1.004
1740140349.537785,63,1.0
1740140350.527231,63,1.008
1740140351.517768,62,1.024
1740140352.508289,62,1.0
1740140353.496105,62,1.024
1740140354.487701,61,0.988
1740140355.478009,61,1.0
1740140356.4675999,61,1.016
1740140357.457776,61,1.016
1740140358.446712,61,1.011
1740140359.4368262,61,1.012
1740140360.4269,61,1.012
1740140360.4269178,61,1.008
1740140361.42022,61,1.02
1740140362.408119,61,1.008
1740140363.400095,61,1.028
1740140364.386137,61,1.032
1740140366.369675,60,1.048
1740140367.356259,60,1.028
1740140368.347403,60,1.052
1740140369.3369842,60,1.056
1740140370.3299341,60,1.08
1740140371.3167691,59,1.04
